Month,City,Company,Total Monthly Hours,TariffRate
November,Ahmedabad,Indowind Energy,367.2,7.9
June,Ahmedabad,Orient Green,1179,7.9
October,Ahmedabad,Indowind Energy,477,7.9
December,Ahmedabad,Tata Power Company Ltd.,393.6,7.9
May,Ahmedabad,Adani Power Ltd.,672,7.9
May,Ahmedabad,Orient Green,914,7.9
May,Ahmedabad,Tata Power Company Ltd.,1290,7.9
December,Ahmedabad,Tata Power Company Ltd.,310.4,7.9
July,Ahmedabad,Tata Power Company Ltd.,1821,7.9
June,Ahmedabad,Tata Power Company Ltd.,2088,7.9
March,Ahmedabad,Adani Power Ltd.,194,7.9
August,Ahmedabad,Tata Power Company Ltd.,708,7.9
,,,,
December,Ahmedabad,Indowind Energy,331.2,7.9
November,Ahmedabad,Adani Power Ltd.,286.4,7.9
December,Ahmedabad,Indowind Energy,361.6,7.9
October,Ahmedabad,Orient Green,519,7.9
July,Ahmedabad,Tata Power Company Ltd.,1506,7.9
December,Ahmedabad,Orient Green,463.2,7.9
September,Ahmedabad,Reliance Energy,642,7.9
March,Ahmedabad,Reliance Energy,689,7.9
October,Ahmedabad,Orient Green,700,7.9
May,Ahmedabad,Reliance Energy,1022,7.9
May,Ahmedabad,Tata Power Company Ltd.,1150,7.9
February,Ahmedabad,Reliance Energy,282.4,7.9
March,Ahmedabad,Tata Power Company Ltd.,497,7.9
November,Ahmedabad,Tata Power Company Ltd.,540,7.9
April,Ahmedabad,Reliance Energy,447,
August,Ahmedabad,Reliance Energy,1065,7.9
November,Ahmedabad,Tata Power Company Ltd.,604.8,7.9
March,Ahmedabad,Indowind Energy,559,7.9
May,Ahmedabad,Adani Power Ltd.,676,7.9
January,Ahmedabad,Indowind Energy,298.4,7.9
December,Ahmedabad,Indowind Energy,542.4,7.9
November,Ahmedabad,Orient Green,427.2,
,,,,
August,Ahmedabad,Orient Green,861,7.9
January,Ahmedabad,Indowind Energy,418.4,7.9
March,Ahmedabad,Adani Power Ltd.,407,7.9
January,Ahmedabad,Reliance Energy,334.4,7.9
December,Ahmedabad,Tata Power Company Ltd.,437.6,7.9
March,Ahmedabad,Reliance Energy,533,7.9
November,Ahmedabad,Adani Power Ltd.,224,7.9
May,Ahmedabad,Adani Power Ltd.,1264,7.9
March,Ahmedabad,Reliance Energy,613,7.9
January,Ahmedabad,Tata Power Company Ltd.,364,7.9
May,Ahmedabad,Indowind Energy,1134,7.9
July,Ahmedabad,Reliance Energy,1101,7.9
January,Ahmedabad,Orient Green,246.4,7.9
July,Ahmedabad,Tata Power Company Ltd.,1515,7.9
February,Ahmedabad,Orient Green,407.2,7.9
June,Ahmedabad,Reliance Energy,2217,7.9
December,Ahmedabad,Indowind Energy,313.6,7.9
November,Ahmedabad,Indowind Energy,417.6,7.9
August,Ahmedabad,Reliance Energy,451.5,7.9
December,Ahmedabad,Indowind Energy,412.8,7.9
March,Ahmedabad,Reliance Energy,513,7.9
December,Ahmedabad,Indowind Energy,436,7.9
September,Ahmedabad,Indowind Energy,556.8,7.9
February,Ahmedabad,Adani Power Ltd.,352.8,7.9
September,Ahmedabad,Adani Power Ltd.,516,7.9
March,Ahmedabad,Reliance Energy,524,7.9
May,Ahmedabad,Orient Green,1116,7.9
November,Ahmedabad,Orient Green,360.8,7.9
March,Ahmedabad,Adani Power Ltd.,585,7.9
April,Ahmedabad,Orient Green,975,7.9
April,Ahmedabad,Tata Power Company Ltd.,1122,7.9
February,Ahmedabad,Adani Power Ltd.,469.6,7.9
January,Ahmedabad,Orient Green,369.6,7.9
March,Ahmedabad,Adani Power Ltd.,567,7.9
March,Ahmedabad,Indowind Energy,482,7.9
September,Ahmedabad,Adani Power Ltd.,746.4,7.9
December,Ahmedabad,Orient Green,329.6,7.9
June,Ahmedabad,Adani Power Ltd.,2169,7.9
February,Ahmedabad,Tata Power Company Ltd.,525.6,7.9
December,Ahmedabad,Indowind Energy,321.6,7.9
November,Ahmedabad,Adani Power Ltd.,447.2,7.9
February,Ahmedabad,Orient Green,312,7.9
October,Ahmedabad,Orient Green,741,7.9
August,Ahmedabad,Orient Green,948,7.9
September,Ahmedabad,Tata Power Company Ltd.,748.8,7.9
August,Ahmedabad,Adani Power Ltd.,777,7.9
May,Ahmedabad,Tata Power Company Ltd.,1352,7.9
September,Ahmedabad,Tata Power Company Ltd.,507.6,7.9
July,Ahmedabad,Indowind Energy,1983,7.9
December,Ahmedabad,Orient Green,441.6,7.9
December,Ahmedabad,Orient Green,328,7.9
